CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Lincoln Victor (13175833),Lincoln Victor,13175833,CPT,1800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Bam Smith (13175757),Bam Smith,13175757,UTIL,1600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,4.28
,,,,,,,WR,Bryce Wolma (13175762),Bryce Wolma,13175762,UTIL,1600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2.98
,,,,,,,WR,Thomas Reid III (13175834),Thomas Reid III,13175834,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,1.6
,,,,,,,WR,Quinton Pedroza (13175838),Quinton Pedroza,13175838,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Kumoku Noa (13175839),Kumoku Noa,13175839,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,KK Padello (13175840),KK Padello,13175840,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,William Gunnell (13175841),William Gunnell,13175841,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Tre Adams (13175842),Tre Adams,13175842,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Terrence Johnson (13175843),Terrence Johnson,13175843,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Thomas Marcus Jr. (13175844),Thomas Marcus Jr.,13175844,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2.7
,,,,,,,WR,Brice Vooletich (13175845),Brice Vooletich,13175845,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Zach Williams (13175846),Zach Williams,13175846,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,2
,,,,,,,WR,Keliam Brunn (13175847),Keliam Brunn,13175847,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Robert Funkhouser (13175848),Robert Funkhouser,13175848,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Kahale Huddleston (13175849),Kahale Huddleston,13175849,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Nick Mardner (13175850),Nick Mardner,13175850,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Adam Netane (13175851),Adam Netane,13175851,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Nazar Bombata (13175852),Nazar Bombata,13175852,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,John son (13175853),John son,13175853,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,James Phillips (13175854),James Phillips,13175854,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Jonah Panoke (13175855),Jonah Panoke,13175855,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Jared Smart (13175856),Jared Smart,13175856,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Grey Ihu (13175857),Grey Ihu,13175857,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Karl Altenburg (13175858),Karl Altenburg,13175858,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jack Koceman (13175859),Jack Koceman,13175859,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jaden Mitchell (13175860),Jaden Mitchell,13175860,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jaden Allen (13175861),Jaden Allen,13175861,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Chance Beyer (13175862),Chance Beyer,13175862,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,John Burton (13175863),John Burton,13175863,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Devin Green (13175864),Devin Green,13175864,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jalen Johnson (13175865),Jalen Johnson,13175865,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Michael Wiley (13175866),Michael Wiley,13175866,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Thomas Aych (13175867),Thomas Aych,13175867,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Tayvian Cunningham (13175868),Tayvian Cunningham,13175868,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Connor Hutchings (13175869),Connor Hutchings,13175869,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Zach Lord (13175870),Zach Lord,13175870,CPT,1500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Bryce Coleman (13175758),Bryce Coleman,13175758,UTIL,1400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Jamarye Joiner (13175763),Jamarye Joiner,13175763,UTIL,1400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0.39
,,,,,,,WR,Lincoln Victor (13175759),Lincoln Victor,13175759,UTIL,1200,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Thomas Reid III (13175760),Thomas Reid III,13175760,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,1.6
,,,,,,,WR,Quinton Pedroza (13175764),Quinton Pedroza,13175764,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Kumoku Noa (13175765),Kumoku Noa,13175765,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,KK Padello (13175766),KK Padello,13175766,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,William Gunnell (13175767),William Gunnell,13175767,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Tre Adams (13175768),Tre Adams,13175768,UTIL,1000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
