CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Trey Thompson (13144069),Trey Thompson,13144069,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Erik Askeland (13144070),Erik Askeland,13144070,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Dee Wiggins (13144071),Dee Wiggins,13144071,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,2.86
,,,,,,,WR,Will Huggins (13144072),Will Huggins,13144072,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Brian Miller (13144073),Brian Miller,13144073,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Dennis Gross (13144074),Dennis Gross,13144074,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,RB,Asa Martin (13144075),Asa Martin,13144075,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,2.26
,,,,,,,RB,Realus George Jr. (13144076),Realus George Jr.,13144076,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Lucas Krull (13144077),Lucas Krull,13144077,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,2.35
,,,,,,,WR,Garrett Conner (13144078),Garrett Conner,13144078,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Daniel Cross (13144079),Daniel Cross,13144079,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Ja'Markis Weston (13144080),Ja'Markis Weston,13144080,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Keon Zipperer (13144081),Keon Zipperer,13144081,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
,,,,,,,WR,Jarius Howard (13144082),Jarius Howard,13144082,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Robert Prosek (13144083),Robert Prosek,13144083,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,MIA,0
,,,,,,,WR,Dionte Marks (13144084),Dionte Marks,13144084,UTIL,1000,MIA@UF 08/24/2019 07:00PM ET,UF,0
